acclamation	acclimation
Cruel	Crewel
Crews	Cruise
Cruise	Crews
Cue	Queue
Queue	Cue
Currant	Current
Current	Currant
Cygnet	Signet
Signet	Cygnet
Cymbal	Symbol
Symbol	Cymbal
Dam	Damn
Damn	Dam
Days	Daze
Daze	Days
Dear	Deer
Deer	Dear
Dense	Dents
Dents	Dense
Desert	Dessert
Dessert	Desert
Dew	Due
Due	Dew
Die	Dye
Dye	Die
Disburse	Disperse
Disperse	Disburse
Discreet	Discrete
Discrete	Discreet
Doe	Dough
Dough	Doe
Does	Doze
Doze	Does
Done	Dun
Dun	Done
Dual	Duel
Duel	Dual
Dyeing	Dying
Dying	Dyeing
Earn	Urn
Urn	Earn
Eave	Eve
Eve	Eave
Eek	Eke
Eke	Eek
Ewe	You
You	Ewe
Ewes	Yews
Yews	Ewes
Eyelet	Islet
Islet	Eyelet
Faint	Feint
Feint	Faint
Fair	Fare
Fare	Fair
Faun	Fawn
Fawn	Faun
Faze	Phase
Phase	Faze
Feat	Feet
Feet	Feat
Fined	Find
Find	Fined
Fir	Fur
Fur	Fir
Fisher	Fissure
Fissure	Fisher
Flair	Flare
Flare	Flair
Flea	Flee
Flee	Flea
Flew	Flue
Flue	Flew
Floe	Flow
Flow	Floe
Flour	Flower
Flower	Flour
Foaled	Fold
Fold	Foaled
For	Four
Four	For
Foreword	Forward
Forward	Foreword
Forth	Fourth
Fourth	Forth
Foul	Fowl
Fowl	Foul
Franc	Frank
Frank	Franc
Frays	Phrase
Phrase	Frays
Freeze	Frieze
Frieze	Freeze
Friar	Fryer
Fryer	Friar
Gaff	Gaffe
Gaffe	Gaff
Gait	Gate
Gate	Gait
Gamble	Gambol
Gambol	Gamble
Genes	Jeans
Jeans	Genes
Gibe	Jibe
Jibe	Gibe
Gild	Guild
Guild	Gild
Gilt	Guilt
Guilt	Gilt
Knew	New
New	Knew
Gofer	Gopher
Gopher	Gofer
Gorilla	Guerrilla
Guerrilla	Gorilla
Gourd	Gored
Gored	Gourd
Grate	Great
Great	Grate
Grill	Grille
Grille	Grill
Grisly	Grizzly
Grizzly	Grisly
Groan	Grown
Grown	Groan
Guessed	Guest
Guest	Guessed
Guise	Guys
Guys	Guise
Hail	Hale
Hale	Hail
Hair	Hare
Hare	Hair
Hall	Haul
Haul	Hall
Hangar	Hanger
Hanger	Hangar
Hart	Heart
Heart	Hart
Hay	Hey
Hey	Hay
Heal	Heel
Heel	Heal
Hear	Here
Here	Hear
Heard	Herd
Herd	Heard
Heroin	Heroine
Heroine	Heroin
Hew	Hue
Hue	Hew
Hi	High
High	Hi
Him	Hymn
Hymn	Him
Ho	Hoe
Hoe	Ho
Hoard	Horde
Horde	Hoard
Hoarse	Horse
Horse	Hoarse
Hoes	Hose
Hose	Hoes
Hole	Whole
Whole	Hole
Holy	Wholly
Wholly	Holy
Hostel	Hostile
Hostile	Hostel
Hour	Our
Our	Hour
Idle	Idol
Idol	Idle
In	Inn
Inn	In
Incidence	Incidents
Incidents	Incidence
Intense	Intents
Intents	Intense
Jam	Jamb
Jamb	Jam
Knave	Nave
Nave	Knave
Knead	Need
Need	Knead
Knight	Night
Night	Knight
Knit	Nit
Nit	Knit
Knot	Not
Not	Knot
Know	No
No	Know
Knows	Nose
Nose	Knows
Lacks	Lax
Lax	Lacks
Lain	Lane
Lane	Lain
Lama	Llama
Llama	Lama
Laps	Lapse
Lapse	Laps
Lay	Lei
Lei	Lay
Leach	Leech
Leech	Leach
Lead	Led
Led	Lead
Leak	Leek
Leek	Leak
Lean	Lien
Lien	Lean
Leased	Least
Least	Leased
Lessen	Lesson
Lesson	Lessen
Levee	Levy
Levy	Levee
Lie	Lye
Lye	Lie
Links	Lynx
Lynx	Links
Lo	Low
Low	Lo
Load	Lode
Lode	Load
Loan	Lone
Lone	Loan
Locks	Lox
Lox	Locks
Loot	Lute
Lute	Loot
Made	Maid
Maid	Made
Mail	Male
Male	Mail
Main	Mane
Mane	Main
Maize	Maze
Maze	Maize
Mall	Maul
Maul	Mall
Manner	Manor
Manor	Manner
Mantel	Mantle
Mantle	Mantel
Marshal	Martial
Martial	Marshal
Mask	Masque
Masque	Mask
Massed	Mast
Mast	Massed
Meat	Meet
Meet	Meat
Medal	Meddle
Meddle	Medal
Metal	Mettle
Mettle	Metal
Mewl	Mule
Mule	Mewl
Mews	Muse
Muse	Mews
Might	Mite
Mite	Might
Mince	Mints
Mints	Mince
Mind	Mined
Mined	Mind
Miner	Minor
Minor	Miner
Missal	Missile
Missile	Missal
Missed	Mist
Mist	Missed
Moan	Mown
Mown	Moan
Moose	Mousse
Mousse	Moose
Morning	Mourning
Mourning	Morning
Muscle	Mussel
Mussel	Muscle
Mustard	Mustered
Mustered	Mustard
Naval	Navel
Navel	Naval
Nay	Neigh
Neigh	Nay
New	Gnu
Gnu	New
Nicks	Nix
Nix	Nicks
None	Nun
Nun	None
Oar	Ore
Ore	Oar
Ode	Owed
Owed	Ode
Oh	Owe
Owe	Oh
One	Won
Won	One
Paced	Paste
Paste	Paced
Packed	Pact
Pact	Packed
Pail	Pale
Pale	Pail
Pain	Pane
Pane	Pain
Pair	Pear
Pear	Pair
Palette	Pallet
Pallet	Palette
Passed	Past
Past	Passed
Patience	Patients
Patients	Patience
Pause	Paws
Paws	Pause
Peace	Piece
Piece	Peace
Peak	Peek
Peek	Peak
Peal	Peel
Peel	Peal
Pearl	Purl
Purl	Pearl
Pedal	Peddle
Peddle	Pedal
Peer	Pier
Pier	Peer
Plain	Plane
Plane	Plain
Plait	Plate
Plate	Plait
Pleas	Please
Please	Pleas
Plum	Plumb
Plumb	Plum
Pole	Poll
Poll	Pole
Pore	Pour
Pour	Pore
Praise	Prays
Prays	Praise
Presence	Presents
Presents	Presence
Pride	Pried
Pried	Pride
Pries	Prize
Prize	Pries
Primer	Primmer
Primmer	Primer
Prince	Prints
Prints	Prince
Principal	Principle
Principle	Principal
Profit	Prophet
Prophet	Profit
Quarts	Quartz
Quartz	Quarts
Rabbet	Rabbit
Rabbit	Rabbet
Rain	Reign
Reign	Rain
Raise	Rays
Rays	Raise
Rap	Wrap
Wrap	Rap
Rapt	Wrapped
Wrapped	Rapt
Real	Reel
Reel	Real
Red	Read
Read	Red
Read	Reed
Reed	Read
Reek	Wreak
Wreak	Reek
Residence	Residents
Residents	Residence
Rest	Wrest
Wrest	Rest
Retch	Wretch
Wretch	Retch
Review	Revue
Revue	Review
Right	Write
Write	Right
Ring	Wring
Wring	Ring
Road	Rowed
Rowed	Road
Roe	Row
Row	Roe
Role	Roll
Roll	Role
Roomer	Rumour
Rumour	Roomer
Root	Route
Route	Root
Rose	Rows
Rows	Rose
Rote	Wrote
Wrote	Rote
Rouse	Rows
Rows	Rouse
Rude	Rued
Rued	Rude
Rung	Wrung
Wrung	Rung
Rye	Wry
Wry	Rye
Sac	Sack
Sack	Sac
Sail	Sale
Sale	Sail
Sane	Seine
Seine	Sane
Saver	Savour
Savour	Saver
Scene	Seen
Seen	Scene
Scent	Sent
Sent	Scent
Scull	Skull
Skull	Scull
Sea	See
See	Sea
Seam	Seem
Seem	Seam
Seas	Seize
Seize	Seas
Serf	Surf
Surf	Serf
Serge	Surge
Surge	Serge
Sew	Sow
Sow	Sew
Shearn	Sheer
Sheer	Shearn
Shoe	Shoo
Shoo	Shoe
Shone	Shown
Shown	Shone
Sic	Sick
Sick	Sic
Side	Sighed
Sighed	Side
Sighs	Size
Size	Sighs
Slay	Sleigh
Sleigh	Slay
Sleight	Slight
Slight	Sleight
Soar	Sore
Sore	Soar
Soared	Sword
Sword	Soared
Sole	Soul
Soul	Sole
Soled	Sold
Sold	Soled
Some	Sum
Sum	Some
Son	Sun
Sun	Son
Staid	Stayed
Stayed	Staid
Stairs	Stares
Stares	Stairs
Stake	Steak
Steak	Stake
Stationary	Stationery
Stationery	Stationary
Steal	Steel
Steel	Steal
Step	Steppe
Steppe	Step
Stile	Style
Style	Stile
Straight	Strait
Strait	Straight
Succour	Sucker
Sucker	Succour
Suite	Sweet
Sweet	Suite
Tacked	Tact
Tact	Tacked
Tacks	Tax
Tax	Tacks
Tail	Tale
Tale	Tail
Taper	Tapir
Tapir	Taper
Taught	Taut
Taut	Taught
Tea	Tee
Tee	Tea
Team	Teem
Teem	Team
Tear	Tier
Tier	Tear
Teas	Tease
Tease	Teas
Tense	Tents
Tents	Tense
Tern	Turn
Turn	Tern
Their	There
There	Their
Threw	Through
Through	Threw
Throes	Throws
Throws	Throes
Throne	Thrown
Thrown	Throne
Thyme	Time
Time	Thyme
Tic	Tick
Tick	Tic
Tide	Tied
Tied	Tide
Too	Two
Two	Too
Toad	Towed
Towed	Toad
Toe	Tow
Tow	Toe
Told	Tolled
Tolled	Told
Tracked	Tract
Tract	Tracked
Troop	Troupe
Troupe	Troop
Trussed	Trust
Trust	Trussed
Undo	Undue
Undue	Undo
Use	Yews
Yews	Use
Vain	Vein
Vein	Vain
Vale	Veil
Veil	Vale
Vice	Vise
Vise	Vice
Wade	Weighed
Weighed	Wade
Waist	Waste
Waste	Waist
Wait	Weight
Weight	Wait
Waive	Wave
Wave	Waive
Wares	Wears
Wears	Wares
Warn	Worn
Worn	Warn
Way	Weigh
Weigh	Way
We	Wee
Wee	We
Weak	Week
Week	Weak
Wood	Would
Would	Wood
Wrapped	Rapped
Rapped	Wrapped
Yew	You
You	Yew
Yoke	Yolk
Yolk	Yoke
accessary	accessory
accessory	accessary
alms	arms
arms	alms
aren't	aunt
aunt	aren't
auk	orc
orc	auk
awe	oar
awe	or
awe	ore
oar	awe
or	awe
ore	awe
axel	axle
axle	axel
baize	bays
bays	baize
bark	barque
barque	bark
bean	been
been	bean
bel	bell
bel	belle
bell	bel
belle	bel
bitten	bittern
bittern	bitten
boarder	border
border	boarder
buyer	byre
byre	buyer
canvas	canvass
canvass	canvas
caught	court
court	caught
caw	core
caw	corps
core	caw
corps	caw
clew	clue
clue	clew
close	cloze
cloze	close
coal	kohl
kohl	coal
coign	coin
coin	coign
complacent	complaisant
complaisant	complacent
cops	copse
copse	cops
cue	kyu
kyu	cue
kyu	queue
queue	kyu
curb	kerb
kerb	curb
cymbol	symbol
symbol	cymbol
desert	dessert
dessert	desert
deviser	divisor
divisor	deviser
doe	doh
doh	doe
doh	dough
dough	doh
douse	dowse
dowse	douse
eery	eyrie
eyrie	eery
fah	far
far	fah
farther	father
father	farther
fate	fête
fête	fate
few	phew
phew	few
fie	phi
phi	fie
flaw	floor
floor	flaw
flex	flecks
flecks	flex
fort	fought
fought	fort
furs	furze
furze	furs
galipot	gallipot
gallipot	galipot
gallop	galop
galop	gallop
giro	gyro
gyro	giro
gnaw	nor
nor	gnaw
greave	grieve
grieve	greave
greys	graze
graze	greys
haw	hoar
haw	whore
hoar	haw
hoar	whore
whore	haw
whore	hoar
knob	nob
nob	knob
laager	lager
lager	laager
larva	lava
lava	larva
lase	laze
laze	lase
law	lore
lore	law
lay	ley
ley	lay
licence	license
license	licence
lieu	loo
loo	lieu
manna	manner
manner	manna
mare	mayor
mayor	mare
mark	marque
marque	mark
mask	masque
masque	mask
maw	more
more	maw
meter	metre
metre	meter
miner	mynah
minor	mynah
mynah	miner
mynah	minor
moor	more
more	moor
morning	mourning
mourning	morning
nigh	nye
nye	nigh
od	odd
odd	od
packs	pax
pax	packs
palate	pallet
palette	pallet
pallet	palate
pallet	palette
pascal	paschal
paschal	pascal
paten	patten
paten	pattern
patten	paten
patten	pattern
pattern	paten
pattern	patten
pause	pores
pause	pours
paws	pores
paws	pours
pores	pause
pores	paws
pores	pours
pours	pause
pours	paws
pours	pores
pawn	porn
porn	pawn
peak	peke
peek	peke
peke	peak
peke	peek
peke	pique
pique	peke
pica	pika
pika	pica
poof	pouffe
pouffe	poof
practice	practise
practise	practice
raw	roar
roar	raw
roo	roux
roo	rue
roux	roo
rue	roo
rota	rotor
rotor	rota
saver	savour
savour	saver
satire	satyr
satyr	satire
sauce	source
source	sauce
saw	soar
saw	sore
soar	saw
sore	saw
shake	sheikh
sheikh	shake
sink	synch
synch	sink
sort	sought
sought	sort
spa	spar
spar	spa
stalk	stork
stork	stalk
storey	story
story	storey
swat	swot
swot	swat
talk	torque
torque	talk
taught	tort
taut	tort
tort	taught
tort	taut
te	tea
te	tee
tea	te
tee	te
terce	terse
terse	terce
there	they're
their	they're
they're	there
they're	their
tire	tyre
tyre	tire
tole	toll
toll	tole
tor	tore
tore	tor
tough	tuff
tuff	tough
tuba	tuber
tuber	tuba
wall	waul
waul	wall
wart	wort
wort	wart
watt	what
what	watt
we	whee
wee	whee
whee	we
whee	wee
wean	ween
ween	wean
weaver	weever
weever	weaver
were	whirr
whirr	were
wheald	wheeled
wheeled	wheald
whine	wine
wine	whine
white	wight
wight	white
yaw	yore
yaw	your
yaw	you're
yore	yaw
your	yaw
you're	yaw
